amount,payment_method,failure_code,attempt_number,prev_successful_payments,prev_failed_payments,customer_ltv,customer_tenure_months,subscription_age_days,days_since_prev_payment,hour_of_day,day_of_week,customer_segment,risk_score,target_recovered
1842.44,upi,INSUFFICIENT_FUNDS,1,19,2,27796.1,20,69,24,4,6,STANDARD,0.697,0
10735.43,debit_card,INSUFFICIENT_FUNDS,1,8,2,16463.57,9,124,16,9,1,STANDARD,0.9126,1
4808.61,credit_card,INSUFFICIENT_FUNDS,1,11,2,15604.32,45,95,44,2,4,VIP,0.7086,0
3395.3,upi,INSUFFICIENT_FUNDS,1,10,0,20447.45,9,38,28,22,4,VIP,0.675,0
793.69,debit_card,INSUFFICIENT_FUNDS,1,6,4,7329.01,15,214,32,22,3,VIP,0.3725,0
793.59,debit_card,INSUFFICIENT_FUNDS,1,17,1,14880.42,34,305,7,20,6,ENTERPRISE,0.2126,0
409.44,credit_card,EXPIRED_CARD,1,12,0,23792.6,25,330,10,15,0,ENTERPRISE,0.0594,1
7239.31,debit_card,EXPIRED_CARD,3,11,0,16192.33,48,68,20,21,1,STANDARD,0.8972,0
3416.79,credit_card,TRANSIENT_FAILURE,1,11,5,14614.31,37,5,14,17,5,STANDARD,0.076,1
4509.38,credit_card,INSUFFICIENT_FUNDS,1,7,0,11521.49,7,11,4,4,2,STANDARD,0.7671,0
272.8,net_banking,TRANSIENT_FAILURE,1,8,1,14989.98,9,358,32,3,5,STANDARD,0.1078,1
12462.45,debit_card,EXPIRED_CARD,1,14,1,26002.17,41,344,25,12,5,STANDARD,0.2154,0
6452.5,debit_card,TRANSIENT_FAILURE,1,10,2,17823.31,15,348,36,1,3,VIP,0.08,1
1035.41,debit_card,INSUFFICIENT_FUNDS,1,19,0,31121.75,19,354,11,19,0,STANDARD,0.5952,0
902.38,credit_card,TRANSIENT_FAILURE,1,12,3,17912.76,16,199,24,3,2,ENTERPRISE,0.0427,1
909.14,upi,INSUFFICIENT_FUNDS,1,12,1,16507.44,21,22,10,20,4,STANDARD,0.8556,0
1469.64,credit_card,INSUFFICIENT_FUNDS,2,14,2,23939.77,28,37,11,16,1,VIP,0.5412,0
2803.75,upi,INSUFFICIENT_FUNDS,2,12,2,11226.36,39,41,33,21,4,STANDARD,0.6101,0
2179.38,debit_card,INSUFFICIENT_FUNDS,1,15,3,21489.86,11,74,35,0,4,STANDARD,0.5554,0
1404.78,credit_card,TRANSIENT_FAILURE,1,13,2,17237.24,12,74,24,9,6,STANDARD,0.0563,1
3512.3,credit_card,EXPIRED_CARD,2,12,2,23164.77,32,213,16,5,3,STANDARD,0.4552,0
725.82,upi,TRANSIENT_FAILURE,1,13,2,9955.84,24,351,11,7,1,ENTERPRISE,0.0655,1
1409.3,debit_card,INSUFFICIENT_FUNDS,4,9,2,9126.82,4,297,19,3,4,STANDARD,0.9712,0
1796.97,debit_card,EXPIRED_CARD,1,18,2,23109.14,6,349,18,14,2,STANDARD,0.2818,1
2331.27,credit_card,TRANSIENT_FAILURE,1,10,4,16040.73,27,244,20,2,0,STANDARD,0.2877,1
5582.78,upi,INSUFFICIENT_FUNDS,1,11,1,12932.04,54,340,32,4,3,STANDARD,0.6329,0
979.58,credit_card,TRANSIENT_FAILURE,4,10,2,7788.36,57,126,16,23,1,STANDARD,0.6542,1
2727.1,debit_card,INVALID_REQUEST,1,12,2,18868.12,9,279,10,17,3,VIP,0.8932,0
3341.27,credit_card,INSUFFICIENT_FUNDS,1,21,0,30608.8,53,202,33,18,4,ENTERPRISE,0.2472,1
366.47,credit_card,TRANSIENT_FAILURE,1,12,1,19116.2,54,13,11,18,0,ENTERPRISE,0.058,1
3473.67,debit_card,INSUFFICIENT_FUNDS,1,6,2,10094.8,44,123,43,21,4,VIP,0.3526,1
854.36,credit_card,INSUFFICIENT_FUNDS,1,16,1,21705.44,52,61,38,23,6,VIP,0.2147,1
435.42,upi,EXPIRED_CARD,2,6,5,11581.71,22,237,13,6,1,STANDARD,0.6149,0
10607.91,debit_card,EXPIRED_CARD,1,11,3,19469.65,54,102,44,23,0,STANDARD,0.199,1
11997.21,upi,FRAUD_SUSPECTED,1,10,2,30169.22,29,79,42,11,0,STANDARD,1.0,0
5983.16,credit_card,TRANSIENT_FAILURE,2,20,3,44969.49,59,245,22,10,0,STANDARD,0.232,1
1471.51,credit_card,TRANSIENT_FAILURE,1,9,1,7443.33,16,238,7,13,1,STANDARD,0.1962,1
559.72,debit_card,INVALID_REQUEST,1,13,2,20391.76,54,300,33,22,3,STANDARD,0.8277,0
4234.63,credit_card,INVALID_REQUEST,3,13,1,27843.64,55,261,35,16,1,STANDARD,0.9659,0
2230.32,debit_card,INSUFFICIENT_FUNDS,1,8,2,17343.77,23,194,44,23,5,STANDARD,0.8465,1
655.53,debit_card,INSUFFICIENT_FUNDS,2,15,2,24119.44,40,268,1,19,2,STANDARD,0.6752,0
2592.42,upi,INSUFFICIENT_FUNDS,1,11,1,11089.25,37,346,44,1,4,STANDARD,0.6428,0
322.48,credit_card,EXPIRED_CARD,2,14,3,21433.51,10,358,31,20,2,VIP,0.416,1
8601.48,upi,EXPIRED_CARD,1,7,0,14294.49,24,112,38,3,3,STANDARD,0.2607,0
1248.1,debit_card,TRANSIENT_FAILURE,2,15,1,20899.62,45,118,17,2,5,VIP,0.0,1
4001.9,debit_card,INSUFFICIENT_FUNDS,2,11,2,18977.24,31,97,27,15,6,STANDARD,0.7841,1
1507.41,credit_card,TRANSIENT_FAILURE,3,18,2,30342.29,58,39,2,13,5,STANDARD,0.2805,0
2769.39,debit_card,TRANSIENT_FAILURE,1,6,0,11661.25,55,98,32,16,6,STANDARD,0.2066,1
2969.28,upi,TRANSIENT_FAILURE,1,18,0,20735.36,10,83,12,23,4,STANDARD,0.1401,1
915.36,upi,TRANSIENT_FAILURE,2,9,2,10667.09,56,263,39,8,1,STANDARD,0.2769,1
12424.82,credit_card,TRANSIENT_FAILURE,3,11,2,26725.95,45,351,24,7,4,STANDARD,0.4542,1
5422.86,debit_card,INSUFFICIENT_FUNDS,2,14,0,21861.07,40,315,39,8,5,STANDARD,0.8182,0
10017.83,credit_card,TRANSIENT_FAILURE,3,16,0,39279.39,40,267,14,16,5,STANDARD,0.4159,0
8082.53,upi,EXPIRED_CARD,1,9,1,16017.62,54,252,18,6,5,STANDARD,0.3602,0
3388.69,debit_card,INSUFFICIENT_FUNDS,3,12,2,17771.31,26,171,26,9,3,STANDARD,0.8123,0
9123.02,upi,EXPIRED_CARD,2,7,2,12697.67,27,319,11,4,5,VIP,0.3696,0
524.29,debit_card,INSUFFICIENT_FUNDS,2,12,1,18249.33,32,201,23,14,0,STANDARD,0.6874,0
963.47,credit_card,INSUFFICIENT_FUNDS,1,11,3,20128.12,40,76,22,2,1,STANDARD,0.7142,0
361.99,debit_card,TRANSIENT_FAILURE,1,8,1,15544.31,24,86,28,3,2,ENTERPRISE,0.0241,1
1577.36,credit_card,TRANSIENT_FAILURE,2,10,2,16211.26,46,73,4,7,2,STANDARD,0.3507,1
